stateabb1,stateabb2,year
BOL,HAI,1997
BOL,HON,1997
BOL,JAM,1997
BOL,MEX,1997
BOL,NIC,1997
BOL,PAN,1997
BOL,PAR,1997
BOL,PER,1997
BOL,SAL,1997
BOL,SKN,1997
BOL,SLU,1997
BOL,SUR,1997
BOL,SVG,1997
BOL,TRI,1997
BOL,URU,1997
BOL,USA,1997
BOL,VEN,1997
BOS,CRO,1997
BRA,AAB,1997
BRA,ARG,1997
BRA,BAR,1997
BRA,BHM,1997
BRA,BLZ,1997
BRA,BOL,1997
BRA,CAN,1997
BRA,CHL,1997
BRA,COL,1997
BRA,COS,1997
BRA,DMA,1997
BRA,DOM,1997
BRA,ECU,1997
BRA,GRN,1997
BRA,GUA,1997
BRA,GUY,1997
BRA,HAI,1997
BRA,HON,1997
BRA,JAM,1997
BRA,MEX,1997
BRA,NIC,1997
BRA,PAN,1997
BRA,PAR,1997
BRA,PER,1997
BRA,SAL,1997
BRA,SKN,1997
BRA,SLU,1997
BRA,SUR,1997
BRA,SVG,1997
BRA,TRI,1997
BRA,URU,1997
BRA,USA,1997
BRA,VEN,1997
CAN,AAB,1997
CAN,ARG,1997
CAN,BAH,1997
CAN,BAR,1997
CAN,BEL,1997
CAN,BHM,1997
CAN,BLZ,1997
CAN,BOL,1997
CAN,BRA,1997
CAN,CHL,1997
CAN,COL,1997
CAN,COS,1997
CAN,CZR,1997
CAN,DEN,1997
CAN,DMA,1997
CAN,DOM,1997
CAN,ECU,1997
CAN,FRN,1997
CAN,GMY,1997
CAN,GRC,1997
CAN,GRN,1997
CAN,GUA,1997
CAN,GUY,1997
CAN,HAI,1997
CAN,HON,1997
CAN,HUN,1997
CAN,ICE,1997
CAN,ITA,1997
CAN,JAM,1997
CAN,LUX,1997
CAN,MEX,1997
CAN,NIC,1997
CAN,NOR,1997
CAN,NTH,1997
CAN,PAN,1997
CAN,PAR,1997
CAN,PER,1997
CAN,POL,1997
CAN,POR,1997
CAN,SAL,1997
CAN,SKN,1997
CAN,SLU,1997
CAN,SPN,1997
CAN,SUR,1997
CAN,SVG,1997
CAN,TRI,1997
CAN,TUR,1997
CAN,UKG,1997
CAN,URU,1997
CAN,USA,1997
CAN,VEN,1997
CDI,BEN,1997
CDI,BFO,1997
CDI,GAM,1997
CDI,GHA,1997
CDI,GNB,1997
CDI,GUI,1997
CDI,LBR,1997
CDI,MAA,1997
CDI,MLI,1997
CDI,NIG,1997
CDI,NIR,1997
CDI,SEN,1997
CDI,SIE,1997
CDI,TOG,1997
CEN,FRN,1997
CHL,AAB,1997
CHL,ARG,1997
CHL,BAR,1997
CHL,BHM,1997
CHL,BLZ,1997
CHL,BOL,1997
CHL,BRA,1997
CHL,CAN,1997
CHL,COL,1997
CHL,COS,1997
CHL,DMA,1997
CHL,DOM,1997
CHL,ECU,1997
CHL,GRN,1997
CHL,GUA,1997
CHL,GUY,1997
CHL,HAI,1997
CHL,HON,1997
CHL,JAM,1997
CHL,MEX,1997
CHL,NIC,1997
CHL,PAN,1997
CHL,PAR,1997
CHL,PER,1997
CHL,SAL,1997
CHL,SKN,1997
CHL,SLU,1997
CHL,SUR,1997
CHL,SVG,1997
CHL,TRI,1997
CHL,URU,1997
CHL,USA,1997
CHL,VEN,1997
CHN,PRK,1997
COL,AAB,1997
COL,ARG,1997
COL,BAR,1997
COL,BHM,1997
COL,BLZ,1997
COL,BOL,1997
COL,BRA,1997
COL,CAN,1997
COL,CHL,1997
COL,COS,1997
COL,DMA,1997
COL,DOM,1997
COL,ECU,1997
COL,GRN,1997
COL,GUA,1997
COL,GUY,1997
COL,HAI,1997
COL,HON,1997
COL,JAM,1997
COL,MEX,1997
COL,NIC,1997
COL,PAN,1997
COL,PAR,1997
COL,PER,1997
COL,SAL,1997
COL,SKN,1997
COL,SLU,1997
COL,SUR,1997
COL,SVG,1997
COL,TRI,1997
COL,URU,1997
COL,USA,1997
COL,VEN,1997
COM,ALG,1997
COM,BAH,1997
COM,DJI,1997
COM,FRN,1997
COM,IRQ,1997
COM,JOR,1997
COM,KUW,1997
COM,LEB,1997
COM,LIB,1997
COM,MOR,1997
COM,OMA,1997
COM,QAT,1997
COM,SAU,1997
COM,SOM,1997
COM,SUD,1997
COM,SYR,1997
COM,TUN,1997
COM,UAE,1997
COM,YEM,1997
COS,AAB,1997
COS,ARG,1997
COS,BAR,1997
COS,BHM,1997
COS,BLZ,1997
COS,BOL,1997
COS,BRA,1997
COS,CAN,1997
COS,CHL,1997
COS,COL,1997
COS,DMA,1997
COS,DOM,1997
COS,ECU,1997
COS,GRN,1997
COS,GUA,1997
COS,GUY,1997
COS,HAI,1997
COS,HON,1997
COS,JAM,1997
COS,MEX,1997
COS,NIC,1997
COS,PAN,1997
COS,PAR,1997
COS,PER,1997
COS,SAL,1997
COS,SKN,1997
COS,SLU,1997
COS,SUR,1997
COS,SVG,1997
COS,TRI,1997
COS,URU,1997
COS,USA,1997
COS,VEN,1997
CRO,BOS,1997
CUB,PRK,1997
CZR,BEL,1997
CZR,CAN,1997
CZR,DEN,1997
CZR,FRN,1997
CZR,GMY,1997
CZR,GRC,1997
CZR,HUN,1997
CZR,ICE,1997
CZR,ITA,1997
CZR,LUX,1997
CZR,NOR,1997
CZR,NTH,1997
CZR,POL,1997
CZR,POR,1997
CZR,SLO,1997
CZR,SPN,1997
CZR,TUR,1997
CZR,UKG,1997
CZR,USA,1997
DEN,BEL,1997
DEN,CAN,1997
DEN,CZR,1997
DEN,FRN,1997
DEN,GMY,1997
DEN,GRC,1997
DEN,HUN,1997
DEN,ICE,1997
DEN,ITA,1997
DEN,LUX,1997
DEN,NOR,1997
DEN,NTH,1997
DEN,POL,1997
DEN,POR,1997
DEN,SPN,1997
DEN,TUR,1997
DEN,UKG,1997
DEN,USA,1997
DJI,ALG,1997
DJI,BAH,1997
DJI,COM,1997
DJI,IRQ,1997
DJI,JOR,1997
DJI,KUW,1997
DJI,LEB,1997
DJI,LIB,1997
DJI,MOR,1997
DJI,OMA,1997
DJI,QAT,1997
DJI,SAU,1997
DJI,SOM,1997
DJI,SUD,1997
DJI,SYR,1997
DJI,TUN,1997
DJI,UAE,1997
DJI,YEM,1997
DMA,AAB,1997
DMA,ARG,1997
DMA,BAR,1997
DMA,BHM,1997
DMA,BLZ,1997
DMA,BOL,1997
DMA,BRA,1997
DMA,CAN,1997
DMA,CHL,1997
DMA,COL,1997
DMA,COS,1997
DMA,DOM,1997
DMA,ECU,1997
DMA,GRN,1997
DMA,GUA,1997
DMA,GUY,1997
DMA,HAI,1997
DMA,HON,1997
DMA,JAM,1997
DMA,MEX,1997
DMA,NIC,1997
DMA,PAN,1997
DMA,PAR,1997
DMA,PER,1997
DMA,SAL,1997
DMA,SKN,1997
DMA,SLU,1997
DMA,SUR,1997
DMA,SVG,1997
DMA,TRI,1997
DMA,URU,1997
DMA,USA,1997
DMA,VEN,1997
DOM,AAB,1997
DOM,ARG,1997
DOM,BAR,1997
DOM,BHM,1997
DOM,BLZ,1997
DOM,BOL,1997
DOM,BRA,1997
DOM,CAN,1997
DOM,CHL,1997
DOM,COL,1997
DOM,COS,1997
DOM,DMA,1997
DOM,ECU,1997
DOM,GRN,1997
DOM,GUA,1997
DOM,GUY,1997
DOM,HAI,1997
DOM,HON,1997
DOM,JAM,1997
DOM,MEX,1997
DOM,NIC,1997
DOM,PAN,1997
DOM,PAR,1997
DOM,PER,1997
DOM,SAL,1997
DOM,SKN,1997
DOM,SLU,1997
DOM,SUR,1997
DOM,SVG,1997
DOM,TRI,1997
DOM,URU,1997
DOM,USA,1997
DOM,VEN,1997
ECU,AAB,1997
ECU,ARG,1997
ECU,BAR,1997
ECU,BHM,1997
ECU,BLZ,1997
ECU,BOL,1997
ECU,BRA,1997
ECU,CAN,1997
ECU,CHL,1997
ECU,COL,1997
ECU,COS,1997
ECU,DMA,1997
ECU,DOM,1997
ECU,GRN,1997
ECU,GUA,1997
ECU,GUY,1997
ECU,HAI,1997
ECU,HON,1997
ECU,JAM,1997
ECU,MEX,1997
ECU,NIC,1997
ECU,PAN,1997
ECU,PAR,1997
ECU,PER,1997
ECU,SAL,1997
ECU,SKN,1997
ECU,SLU,1997
ECU,SUR,1997
ECU,SVG,1997
ECU,TRI,1997
ECU,URU,1997
ECU,USA,1997
ECU,VEN,1997
ETH,KEN,1997
FRN,BEL,1997
FRN,CAN,1997
FRN,CEN,1997
FRN,COM,1997
FRN,CZR,1997
FRN,DEN,1997
FRN,DJI,1997
FRN,GAB,1997
FRN,GMY,1997
FRN,GRC,1997
FRN,HUN,1997
FRN,ICE,1997
FRN,ITA,1997
FRN,LUX,1997
FRN,NOR,1997
FRN,NTH,1997
FRN,POL,1997
FRN,POR,1997
FRN,SEN,1997
FRN,SPN,1997
FRN,TUR,1997
FRN,UKG,1997
FRN,USA,1997
GAB,FRN,1997
GAM,BEN,1997
GAM,BFO,1997
GAM,CDI,1997
GAM,GHA,1997
GAM,GNB,1997
GAM,GUI,1997
GAM,LBR,1997
GAM,MAA,1997
GAM,NIG,1997
GAM,NIR,1997
GAM,SEN,1997
GAM,SIE,1997
GAM,TOG,1997
GHA,BEN,1997
GHA,BFO,1997
GHA,CDI,1997
GHA,GAM,1997
GHA,GNB,1997
GHA,GUI,1997
GHA,LBR,1997
GHA,MAA,1997
GHA,NIG,1997
GHA,NIR,1997
GHA,SEN,1997
GHA,SIE,1997
GHA,TOG,1997
GMY,BEL,1997
GMY,CAN,1997
GMY,CZR,1997
GMY,DEN,1997
GMY,FRN,1997
GMY,GRC,1997
GMY,HUN,1997
GMY,ICE,1997
GMY,ITA,1997
GMY,LUX,1997
GMY,NOR,1997
GMY,NTH,1997
GMY,POL,1997
GMY,POR,1997
GMY,SPN,1997
GMY,TUR,1997
GMY,UKG,1997
GMY,USA,1997
GNB,BEN,1997
GNB,BFO,1997
GNB,CDI,1997
GNB,GAM,1997
GNB,GHA,1997
GNB,GUI,1997
GNB,LBR,1997
GNB,MAA,1997
GNB,NIG,1997
GNB,NIR,1997
GNB,SEN,1997
GNB,SIE,1997
GNB,TOG,1997
GRC,BEL,1997
GRC,CAN,1997
GRC,CZR,1997
GRC,DEN,1997
GRC,FRN,1997
GRC,GMY,1997
GRC,HUN,1997
GRC,ICE,1997
GRC,ITA,1997
GRC,LUX,1997
GRC,NOR,1997
GRC,NTH,1997
GRC,POL,1997
GRC,POR,1997
GRC,SPN,1997
GRC,TUR,1997
GRC,UKG,1997
GRC,USA,1997
GRG,ARM,1997
GRG,AZE,1997
GRG,BLR,1997
GRG,KYR,1997
GRG,KZK,1997
GRG,RUS,1997
GRG,TAJ,1997
GRG,UZB,1997
GRN,AAB,1997
GRN,ARG,1997
GRN,BAR,1997
GRN,BHM,1997
GRN,BLZ,1997
GRN,BOL,1997
GRN,BRA,1997
GRN,CAN,1997
GRN,CHL,1997
GRN,COL,1997
GRN,COS,1997
GRN,DMA,1997
GRN,DOM,1997
GRN,ECU,1997
GRN,GUA,1997
GRN,GUY,1997
GRN,HAI,1997
GRN,HON,1997
GRN,JAM,1997
GRN,MEX,1997
GRN,NIC,1997
GRN,PAN,1997
GRN,PAR,1997
GRN,PER,1997
GRN,SAL,1997
GRN,SKN,1997
GRN,SLU,1997
GRN,SUR,1997
GRN,SVG,1997
GRN,TRI,1997
GRN,URU,1997
GRN,USA,1997
GRN,VEN,1997
GUA,AAB,1997
GUA,ARG,1997
GUA,BAR,1997
GUA,BHM,1997
GUA,BLZ,1997
GUA,BOL,1997
GUA,BRA,1997
GUA,CAN,1997
GUA,CHL,1997
GUA,COL,1997
GUA,COS,1997
GUA,DMA,1997
GUA,DOM,1997
GUA,ECU,1997
GUA,GRN,1997
GUA,GUY,1997
GUA,HAI,1997
GUA,HON,1997
GUA,JAM,1997
GUA,MEX,1997
GUA,NIC,1997
GUA,PAN,1997
GUA,PAR,1997
GUA,PER,1997
GUA,SAL,1997
GUA,SKN,1997
GUA,SLU,1997
GUA,SUR,1997
GUA,SVG,1997
GUA,TRI,1997
GUA,URU,1997
GUA,USA,1997
GUA,VEN,1997
GUI,BEN,1997
GUI,BFO,1997
GUI,CDI,1997
GUI,GAM,1997
GUI,GHA,1997
GUI,GNB,1997
GUI,LBR,1997
GUI,MAA,1997
GUI,NIG,1997
GUI,NIR,1997
GUI,SEN,1997
GUI,SIE,1997
GUI,TOG,1997
GUY,AAB,1997
GUY,ARG,1997
GUY,BAR,1997
GUY,BHM,1997
GUY,BLZ,1997
GUY,BOL,1997
GUY,BRA,1997
GUY,CAN,1997
GUY,CHL,1997
GUY,COL,1997
GUY,COS,1997
GUY,DMA,1997
